positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
有愛心的,謠言,,,,,,,
有愛國心,謠傳,,,,,,,
有愛國心的,謝絕,,,,,,,
有節制的,輾轉,,,,,,,
有義務的,避免,,,,,,,
有道德,避免直接答覆,,,,,,,
有道德的,避開,,,,,,,
有精神,避債,,,,,,,
有說服力,避諱,,,,,,,
有說服力的,還可以的,,,,,,,
有遠見,醜老太婆,,,,,,,
有遠見的,醜事,,,,,,,
有價值的,醜的,,,,,,,
有價值的人,醜陋,,,,,,,
有樂趣,醜陋的,,,,,,,
有樂趣的,醜惡,,,,,,,
有確實根據,醜惡的,,,,,,,
有確實根據的,醜聞,,,,,,,
有趣的,隱伏,,,,,,,
有魅力,隱伏的,,,,,,,
有魅力的,隱秘,,,,,,,
有錢的,隱秘的,,,,,,,
有頭腦的,隱退,,,,,,,
有幫手,隱退處,,,,,,,
有幫手的,隱密,,,,,,,
有幫助,隱密的,,,,,,,
有幫助的,隱蔽,,,,,,,
有幫助的人,隱蔽的,,,,,,,
有膽量的,隱蔽處,,,,,,,
有禮貌的,隱瞞,,,,,,,
有禮貌的行為,隱諱,,,,,,,
有魔力,隱藏,,,,,,,
有魔力的,鼾聲,,,,,,,
有權,擾亂,,,,,,,
有權力,攆走,,,,,,,
有權力的,擺脫,,,,,,,
有權益,擺脫了,,,,,,,
有權益的,擺脫了的,,,,,,,
有權能,擺脫的,,,,,,,
有權能的,斷念,,,,,,,
老實的,斷然拒絕,,,,,,,
老練的,斷絕,,,,,,,
考慮,斷裂,,,,,,,
自主,斷開,,,,,,,
自由的,朦朧,,,,,,,
自白,歸咎,,,,,,,
自立,歸咎於,,,,,,,
自信,濺出,,,,,,,
自信地,獵食,,,,,,,
自動的,竄改,,,,,,,
自然的,簡陋,,,,,,,
自豪,簡陋的,,,,,,,
自豪的,糧食不足,,,,,,,
至上的,繞圈子,,,,,,,
至高,繞圈子的,,,,,,,
至高的,繞圈子的話,,,,,,,
至善,繚亂,,,,,,,
至善的,翻找,,,,,,,
行善,翻倒,,,,,,,
行善的,翻滾,,,,,,,
似天使,翻騰,,,,,,,
似天使的,舊病,,,,,,,
似乎有理,舊病復發,,,,,,,
作為獎品,藐視,,,,,,,
作為獎品的,藉口,,,,,,,
伶俐的,蟲子,,,,,,,
克制,謬見,,,,,,,
免除,謬誤,,,,,,,
免除的,謬誤的,,,,,,,
免費的,謬論,,,,,,,
冷靜,贅詞,,,,,,,
冷靜的,蹙額,,,,,,,
別緻的,蹣跚,,,,,,,
判斷力,蹣跚地走,,,,,,,
利益,鎮壓,,,,,,,
利潤,闖入,,,,,,,
助手,離婚,,,,,,,
助長,離鄉,,,,,,,
助益,離鄉背井,,,,,,,
努力,離開,,,,,,,
努力的,離開正道,,,,,,,
努力解決,離開正道的,,,,,,,
吸引人,離間,,,,,,,
吸引人的,離群,,,,,,,
吸引人的事物,離群的動物,,,,,,,
吸引力,雜交,,,,,,,
均衡的,雜多,,,,,,,
壯麗的,雜多的,,,,,,,
壯麗雄偉,雜事,,,,,,,
壯麗雄偉的,雜物,,,,,,,
壯觀的,雜草,,,,,,,
妙計,雜訊,,,,,,,
孝行,雜亂,,,,,,,
孝順的,雜亂的一團,,,,,,,
完成,雜質,,,,,,,
完成的,雙關話,,,,,,,
完美的,鞭子,,,,,,,
完整的,鞭打,,,,,,,
宏偉的,鯊魚,,,,,,,
形影不離,壞人,,,,,,,
形影不離的朋友,壞事,,,,,,,
忘不了,壞的,,,,,,,
忘不了的,壞的東西或情形,,,,,,,
志哀,壞處,,,,,,,
忍耐,壞蛋,,,,,,,
忍耐力,壞脾氣,,,,,,,
忍耐的,壞脾氣的,,,,,,,
快活的,壞運氣,,,,,,,
快樂主義,壟斷,,,,,,,
快樂主義的,寵壞,,,,,,,
快樂主義者,懲罰,,,,,,,
快樂主義者的,懷有惡意,,,,,,,
快樂地,懷有惡意的,,,,,,,
快樂的,懷恨,,,,,,,
快樂論,懷恨的,,,,,,,
快樂論的,懷恨者,,,,,,,
戒除,懷惡意,,,,,,,
技巧,懷惡意的,,,,,,,
把握,懷疑,,,,,,,
抒情,懷疑宗教教條,,,,,,,
抒情的,懷疑宗教教條的,,,,,,,
改良,懷疑的,,,,,,,
改善,懷疑論,,,,,,,
改進,懷疑論的,,,,,,,
攻讀,懷敵意,,,,,,,
沈著的,懷敵意的,,,,,,,
決定性的,懶人,,,,,,,
決斷,懶惰,,,,,,,
決斷力,懶惰的,,,,,,,
衝勁,懶惰鬼,,,,,,,
牢固的,懶散,,,,,,,
狂喜的,懶散地,,,,,,,
狂熱的,懶漢,,,,,,,
狂熱讚揚,曠課,,,,,,,
狂歡,曠課者,,,,,,,
狂歡的,爆炸,,,,,,,
罕見,爆炸物,,,,,,,
罕見的,爆炸的,,,,,,,
良心,爆破,,,,,,,
良心的,爆發,,,,,,,
良好的,爆震,,,,,,,
良性的,羅網,,,,,,,
足夠,證明..是虛假,,,,,,,
足夠的,譏諷,,,,,,,
迅速地,辭呈,,,,,,,
迅速的,辭職,,,,,,,
防止,邋遢,,,,,,,
防水,邋遢女人,,,,,,,
防水的,邋遢的,,,,,,,
防備,關上,,,,,,,
事跡,關在,,,,,,,
享有,關押,,,,,,,
享受,難以,,,,,,,
使人信服,難以取悅,,,,,,,
使人信服的,難以取悅的,,,,,,,
使人首肯,難以明瞭,,,,,,,
使人首肯的,難以明瞭的,,,,,,,
使人敬畏,難以相信,,,,,,,
使人敬畏的,難以捉摸,,,,,,,
使平坦,難以捉摸的,,,,,,,
使平靜,難以置信,,,,,,,
使平靜下來,難以置信的,,,,,,,
使用方便的,難民,,,,,,,
使安靜,難事,,,,,,,
使免除,難取悅,,,,,,,
使固定,難取悅的,,,,,,,
使相等,難治療,,,,,,,
使涼快,難治療的,,,,,,,
使陶醉,難信,,,,,,,
使精細,難信的,,,,,,,
使緩和,難為情,,,,,,,
使醉心,難相處,,,,,,,
供娛樂用,難相處的,,,,,,,
供娛樂用的,難看,,,,,,,
典雅的,難看的,,,,,,,
刻苦的,難耐,,,,,,,
協力,難耐的,,,,,,,
協力的,難捕捉之物,,,,,,,
協作,難捉摸,,,,,,,
協助,難捉摸的,,,,,,,
協調,難控制,,,,,,,
卓越的,難控制的,,,,,,,
取悅,難接近,,,,,,,
受大眾歡迎,難接近的,,,,,,,
受鍾愛,難處理,,,,,,,
受鍾愛的,難處理的,,,,,,,
受歡迎,難解,,,,,,,
受歡迎的,難解的,,,,,,,
和平的,難達成,,,,,,,
和睦的,難達成的,,,,,,,
和諧的,難達到,,,,,,,
和藹可親的,難達到的,,,,,,,
和藹的,難過,,,,,,,
周到的,難駕馭,,,,,,,
固守,難駕馭的,,,,,,,
固守的,難辦,,,,,,,
固定的,難點,,,,,,,
坦白的,難題,,,,,,,
坦直的,霧朦朧,,,,,,,
坦率的,顛倒,,,,,,,
奇妙的,顛覆,,,,,,,
奇異,顛簸,,,,,,,
奇跡,騙人,,,,,,,
奇跡的,騙人的,,,,,,,
宜人的,騙子,,,,,,,
尚好,騙局,,,,,,,
幸運地,勸告,,,,,,,
幸運的,勸阻,,,,,,,
幸福的,嚴重,,,,,,,
征服,嚴重地,,,,,,,
忠心,嚴重事故,,,,,,,
忠貞的,嚴重的,,,,,,,
忠誠的,嚴重破壞,,,,,,,
忠誠的行為,嚴峻,,,,,,,
忠實的,嚴峻的,,,,,,,
承認,嚴格,,,,,,,
承諾,嚴格的,,,,,,,
招待,嚴寒,,,,,,,
招待周到,嚴寒的,,,,,,,
招待周到的,嚴肅,,,,,,,
放下武器,嚴肅的,,,,,,,
放心的,嚴酷,,,,,,,
易控制,嚴酷的,,,,,,,
易控制的,嚴酷的考驗,,,,,,,
易理解,嚴厲,,,,,,,
易理解的,嚴厲批評,,,,,,,
易管理,嚴厲拒絕,,,,,,,
易管理的,嚴厲的,,,,,,,
易辦,嚴厲對待,,,,,,,
易辦的,嚴懲,,,,,,,
易懂,攙假,,,,,,,
昌盛,攙雜,,,,,,,
昌盛的,獻慇勤,,,,,,,
明白的,競爭,,,,,,,
明亮的,競爭者,,,,,,,
明亮照耀,蠕動,,,,,,,
明亮照耀的,覺得疼痛,,,,,,,
明理的,觸及,,,,,,,
明晰的,觸犯,,,,,,,
明智的,觸怒,,,,,,,
明智的行為,議論,,,,,,,
明瞭的,警告,,,,,,,
明顯的,警惕,,,,,,,
服從,警惕的,,,,,,,
服從的,警報,,,,,,,
欣然地,警報器,,,,,,,
注目,饑荒,,,,,,,
注重實際,飢餓的,,,,,,,
注重實際的,饑謹,,,,,,,
注意的,饑饉,,,,,,,
法定的,騷動,,,,,,,
法律,騷亂,,,,,,,
法律的,騷擾,,,,,,,
治療,懼怕,,,,,,,
物廉價美,殲滅,,,,,,,
物廉價美的,灌輸,,,,,,,
的確,纏結,,,,,,,
的確地,纏繞,,,,,,,
直言不諱,蠢人,,,,,,,
直言不諱的,蠢事,,,,,,,
直率的,蠢話,,,,,,,
直覺,譴責,,,,,,,
直覺的,贓物,,,,,,,
知性,躊躇,,,,,,,
知性的,轟炸,,,,,,,
知恩,轟動,,,,,,,
知罪,轟動一時,,,,,,,
知道,轟動一時的,,,,,,,
知覺,轟鳴,,,,,,,
肥沃的,轟擊,,,,,,,
肯定的,辯解,,,,,,,
肯定詞,辯駁,,,,,,,
肯定語,辯論,,,,,,,
肯順從,霸佔,,,,,,,
肯順從的,響而刺耳,,,,,,,
芳香的,響而刺耳的,,,,,,,
芬芳的,顧忌,,,,,,,
表示贊成,驅使,,,,,,,
表示贊成的,驅逐,,,,,,,
表現突出,驅散,,,,,,,
表現突出的,魔女,,,,,,,
長處,魔王,,,,,,,
非凡,魔鬼,,,,,,,
非凡的,魔鬼似,,,,,,,
非常大方,魔鬼似的,,,,,,,
非常大方的,魔鬼的,,,,,,,
非常合適,黯淡,,,,,,,
非常合適的,黯淡的,,,,,,,
信心,權宜,,,,,,,
信任,權宜之計,,,,,,,
信賴,權宜的,,,,,,,
便利的,聾的,,,,,,,
俠義的,聽不清,,,,,,,
保密,聽任,,,,,,,
保證,襲取,,,,,,,
保釋,襲擊,,,,,,,
促成,顫抖,,,,,,,
促成的,顫動,,,,,,,
促進,顫聲,,,,,,,
俘獲,驕傲,,,,,,,
冠軍,驕傲自大,,,,,,,
冠軍的,驕傲的,,,,,,,
前進,髒污,,,,,,,
勇氣,髒話,,,,,,,
勇敢的,攫取,,,,,,,
勇敢的行為,曬焦,,,,,,,
勇敢的事跡,竊賊,,,,,,,
厚道的,竊聽,,,,,,,
品行,竊聽器,,,,,,,
品行端正,蠱惑,,,,,,,
品行端正的,變幻,,,,,,,
品味,變幻無常,,,,,,,
品性端正,變幻無常的,,,,,,,
品性端正的,變成廢墟,,,,,,,
威嚴的,變污,,,,,,,
客氣的,變空,,,,,,,
幽默感,變革,,,,,,,
建設性的,變凌亂,,,,,,,
很多,變弱,,,,,,,
很多的,變破爛,,,,,,,
很好,變動,,,,,,,
很好地,變得不愉快,,,,,,,
很好的,變得有缺陷,,,,,,,
很棒,變得冷酷無情,,,,,,,
很棒的,變得更壞,,,,,,,
待人如友,變得束手無策,,,,,,,
思考,變得陰沈,,,,,,,
思想性,變得渺茫,,,,,,,
恰好,變得無恥,,,,,,,
恰好的,變得微弱,,,,,,,
恰當地,變得緊張,,,,,,,
恰當的,變得模糊,,,,,,,
恆久,變淡,,,,,,,
恆久不變,變深,,,,,,,
恆心,變軟弱,,,,,,,
持久,變陰沈,,,,,,,
持久的,變陰暗,,,,,,,
施捨,變鈍,,,,,,,
施捨慷慨,變黑,,,,,,,
施捨慷慨的,變黑暗,,,,,,,
柔和的,變暗,,,,,,,
柔軟,變暗淡,,,,,,,
柔軟的,變節,,,,,,,
洋洋,變態,,,,,,,
洋溢,變態性慾者,,,,,,,
洋溢著幸福,變態的,,,,,,,
洋溢著幸福的,變態者,,,,,,,
流行的,變酸,,,,,,,
流利的,變憂沈,,,,,,,
流暢的,變模糊,,,,,,,
活著,變皺,,,,,,,
活著的,變複雜,,,,,,,
活潑地,變遲鈍,,,,,,,
活潑的,變醜,,,,,,,
為榮,變舊,,,,,,,
為懷,變壞,,,,,,,
珍貴的,變髒,,,,,,,
珍愛的,顯怒容,,,,,,,
相容,驚人,,,,,,,
相等,驚人的,,,,,,,
相稱,驚呆,,,,,,,
相稱的,驚呆的,,,,,,,
紅潤,驚恐,,,,,,,
紅潤的,驚訝,,,,,,,
紀念,驚愕,,,,,,,
約定,驚惶,,,,,,,
美好,驚惶失措,,,,,,,
美好的,驚惶奔跑,,,,,,,
美妙的,驚慌,,,,,,,
美味的,驚跳,,,,,,,
美的事物,驚險,,,,,,,
美的音樂,驚險動作,,,,,,,
美麗的,驚駭,,,,,,,
耐用的,驚駭的,,,,,,,
耐性,驚嚇,,,,,,,
耐勞,驚懼,,,,,,,
致富,癱瘓,,,,,,,
致意,癲狂,,,,,,,
苦思,癲狂者,,,,,,,
苦修,蠶食,,,,,,,
茂盛的,讓渡,,,,,,,
英明的,蠻幹,,,,,,,
英俊的,蠻橫,,,,,,,
英勇的,蠻橫行為,,,,,,,
英雄,蠻橫的,,,,,,,
英雄式,咂嘴,,,,,,,
英雄式的,揶揄,,,,,,,
茁壯成長,揶揄者,,,,,,,
茁壯的,痼疾,,,,,,,
貞潔,蜚語,,,,,,,
貞潔的,噁心,,,,,,,
負有,噁心的,,,,,,,
負有義務,噘起,,,,,,,
負責的,噘著嘴說,,,,,,,
重大的,噘嘴,,,,,,,
重要性,鋌而走險,,,,,,,
重要的,鋌而走險的,,,,,,,
重要的地位,蹩腳,,,,,,,
革新,蹩腳的,,,,,,,
革新的,譭謗,,,,,,,
音樂,,,,,,,,
風度,一文不值,,,,,,,
飛黃騰達,一屁股,,,,,,,
飛黃騰達的,一肚子氣,,,,,,,
首位的,一肚子壞水,,,,,,,
香的,一面倒,,,,,,,
值得,一個屁,,,,,,,
值得注意,一哭二鬧三上吊,,,,,,,
值得注意地,一氣,,,,,,,
值得注意的,一氣之下,,,,,,,
值得的,一張臭臉,,,,,,,
值得信賴,一廂情願,,,,,,,
值得信賴的,一意孤行,,,,,,,
值得紀念的,一腳踹開,,,,,,,
值得崇拜的,一槍斃了你,,,,,,,
值得接受,一箭之仇,,,,,,,
值得接受的,一錯再錯,,,,,,,
值得尊重,二百五,,,,,,,
值得尊重的,人人自危,,,,,,,
值得尊敬,人心惶惶,,,,,,,
值得尊敬的,人生不就是如此,,,,,,,
值得稱讚,人身攻擊,,,,,,,
值得稱讚的,人渣,,,,,,,
值得擁有,人窮志短,,,,,,,
值得擁有的,八股,,,,,,,
值得嚮往,刀割,,,,,,,
值得嚮往的,又氣,,,,,,,
值得讚美,三八,,,,,,,
值得讚美的,三流,,,,,,,
值得讚揚,下三爛,,,,,,,
值得讚揚的,下手,,,,,,,
值錢的,下半身思考,,,,,,,
修理,下毒,,,,,,,
倫理,下毒手,,,,,,,
倫理的,下賤,,,,,,,
剛毅的,上吊,,,,,,,
哲人,乞憐,,,,,,,
娛樂,亡羊補牢,,,,,,,
容光,千瘡百孔,,,,,,,
容光煥發,口臭,,,,,,,
容光煥發的,口齒不清,,,,,,,
容忍,大小姐脾氣,,,,,,,
容忍的,大小便,,,,,,,
容易的,大失,,,,,,,
容易親近,大失所望,,,,,,,
容易親近的,大吵大鬧,,,,,,,
恭敬的,大吼,,,,,,,
恩惠,大言不慚,,,,,,,
悔改,大便,,,,,,,
悔悟,大怒,,,,,,,
悅耳的,大胖子,,,,,,,
捐贈,大哭,,,,,,,
捐獻,大敗,,,,,,,
效能,大笨蛋,,,,,,,
效率,大惑,,,,,,,
時髦的,大惑不解,,,,,,,
時機,大悲,,,,,,,
時機成熟,大發雷霆,,,,,,,
時機成熟的,大亂,,,,,,,
時機適宜,大塊呆,,,,,,,
時機適宜的,大誇,,,,,,,
根除,大罵,,,,,,,
慇勤,大鬧,,,,,,,
慇勤的,大噪,,,,,,,
浪漫,大爛人,,,,,,,
浪漫的,大驚,,,,,,,
消退,大驚失色,,,,,,,
消除,小心眼,,,,,,,
消散,小便,,,,,,,
特大,小孩沒屁眼,,,,,,,
特大的,小家子氣,,,,,,,
特色,小時了了,,,,,,,
特別,小眼睛,,,,,,,
特別的,小提大做,,,,,,,
特級的,小鼻子,,,,,,,
留心的,小器,,,,,,,
留神的,干戈,,,,,,,
留情,干休,,,,,,,
留意的,干政,,,,,,,
疼愛地,才怪,,,,,,,
真正的,才疏學淺,,,,,,,
真誠的,不了,,,,,,,
真實的,不下,,,,,,,
真確的,不予,,,,,,,
神志正常,不予置評,,,,,,,
神志正常的,不仁,,,,,,,
神志清明,不公,,,,,,,
神志清明的,不切,,,,,,,
神氣活現,不以,,,,,,,
神氣活現的,不以為然,,,,,,,
神智健全,不出,,,,,,,
神童,不可一世,,,,,,,
神聖的,不可收拾,,,,,,,
祝賀的,不可理喻,,,,,,,
秩序,不可諱言,,,,,,,
純潔的,不甘,,,,,,,
能力,不甘不願,,,,,,,
能充分理解,不甘心,,,,,,,
能充分理解的,不甘示弱,,,,,,,
能生產,不甘寂寞,,,,,,,
能生產的,不甩,,,,,,,
能吃苦耐勞,不好意思,,,,,,,
能吃苦耐勞的,不如人意,,,,,,,
能幹的,不成,,,,,,,
能實行,不肖,,,,,,,
能實行的,不足為奇,,,,,,,
能懂,不佳,,,,,,,
能懂的,不受,,,,,,,
虔信,不受尊重,,,,,,,
虔敬的,不忿,,,,,,,
虔誠的,不怕死,,,,,,,
衷心地,不明不白,,,,,,,
衷心的,不知去向,,,,,,,
討人喜歡,不知所云,,,,,,,
訓練,不近情理,,,,,,,
財產,不長眼睛,,,,,,,
財富,不長進,,,,,,,
起作用,不是,,,,,,,
迷人之處,不是人,,,,,,,
迷人的,不是省油的燈,,,,,,,
迷人的美,不畏,,,,,,,
追根究底,不要,,,,,,,
閃爍,不要命,,,,,,,
高尚的,不要臉,,,,,,,
高級,不值,,,,,,,
高級的,不倫不類,,,,,,,
高處,不屑於,,,,,,,
高貴的,不恥,,,,,,,
高興的,不起,,,,,,,
鬥志,不起眼,,,,,,,
健全的,不配,,,,,,,
健壯的,不務,,,,,,,
健美的,不務正業,,,,,,,
健康的,不得,,,,,,,
務實,不爽,,,,,,,
參加,不理,,,,,,,
唯實論,不勞,,,,,,,
唯實論的,不勞而獲,,,,,,,
堅決的,不就,,,,,,,
堅固的,不敢苟同,,,,,,,
堅固耐用的,不智,,,,,,,
堅定不移的,不著,,,,,,,
堅定的,不順眼,,,,,,,
堅持,不經,,,,,,,
堅持的,不經心,,,,,,,
堅強的,不置可否,,,,,,,
堅硬無比,不義,,,,,,,
堅硬無比的,不像話,,,,,,,
堅韌的,不實,,,,,,,
堂皇的,不對勁,,,,,,,
專門,不彰,,,,,,,
專門的,不管三七二十一,,,,,,,
專家,不衛生,,,,,,,
專屬,不學無術,,,,,,,
專屬的,不擇,,,,,,,
帶有靈感,不擇手段,,,,,,,
帶有靈感的,不應該,,,,,,,
帶來福氣,不懂,,,,,,,
帶來福氣的,不講信用,,,,,,,
強大的,不懷,,,,,,,
強壯的,不懷好意,,,,,,,
強健的,不懼,,,,,,,
彬彬有禮的,不歡而散,,,,,,,
得人心,不羈,,,,,,,
得要領,中邪,,,,,,,
得意揚揚,中毒,,,,,,,
得獎,中飽私囊,,,,,,,
得獎的,之仇,,,,,,,
得體的,之恨,,,,,,,
從容,之恥,,,,,,,
從容不迫,之嫌,,,,,,,
從容不迫的,予取予求,,,,,,,
接濟,互吵,,,,,,,
推進,五味雜陳,,,,,,,
教養,什麼世界,,,,,,,
啟發,什麼東西,,,,,,,
啟發想像力,什麼態度,,,,,,,
啟發想像力的,什麼德性,,,,,,,
敏悟的,仇外,,,,,,,
敏捷地,仇外情節,,,,,,,
敏捷的,仇佛蔑僧,,,,,,,
敏感,仇視,,,,,,,
敏感的,內阻,,,,,,,
敏銳的,內訌,,,,,,,
敏銳的感覺力,內鬥,,,,,,,
毫不,內哄,,,,,,,
毫不含糊,六神無主,,,,,,,
毫不含糊的,六親不認,,,,,,,
毫無,冗雜,,,,,,,
毫無隱諱交談,凶什麼,,,,,,,
毫無隱諱交談的,凶多吉少,,,,,,,
涼快,凶悍,,,,,,,
涼快的,凶險,,,,,,,
涼爽,分化,,,,,,,
涼爽的空氣,分崩離析,,,,,,,
清白的,分贓,,,,,,,
清秀的,勾引到,,,,,,,
清除,勾搭,,,,,,,
清理,化石,,,,,,,
清楚地,反目,,,,,,,
清楚易懂,反其道而行,,,,,,,
清楚易懂的,反胃,,,,,,,
清楚的,反悔,,,,,,,
清澈的,反彈,,,,,,,
清潔的,天下大亂,,,,,,,
淘氣,天殺,,,,,,,
深切注意,天殺的,,,,,,,
深切注意的,太閒,,,,,,,
深刻的,夭折,,,,,,,
深思,夭壽,,,,,,,
深思的,少惹,,,,,,,
深情,少惹我,,,,,,,
深慮,少煩,,,,,,,
深謀遠慮,少煩我,,,,,,,
率直地,引咎,,,,,,,
率直的,引頸企盼,,,,,,,
理性的,心力交疲,,,,,,,
理想的,心不甘情不願,,,,,,,
理解,心生畏懼,,,,,,,
產量多,心如刀割,,,,,,,
產量多的,心有餘悸,,,,,,,
盛年,心死,,,,,,,
第一流的,心灰意冷,,,,,,,
符合,心急,,,,,,,
符合的,心急如焚,,,,,,,
符合要求,心狠手辣,,,,,,,
符合要求的,心疼,,,,,,,
細心的,心神不寧,,,,,,,
細緻優雅,心胸狹窄,,,,,,,
細緻優雅的,心胸狹隘,,,,,,,
細膩的,心高氣傲,,,,,,,
羞怯,心情不好,,,,,,,
羞怯的,心情惡劣,,,,,,,
習慣,心軟,,,,,,,
莊嚴的,心寒,,,,,,,
被喜愛,心痛,,,,,,,
被喜愛的,心煩,,,,,,,
規矩,心煩意亂,,,,,,,
責任心,心碎,,,,,,,
責任重大,心酸,,,,,,,
責任重大的,心機,,,,,,,
通用,心機很重,,,,,,,
通用的,心臟受不了,,,,,,,
通知,心驚肉跳,,,,,,,
通俗的,心驚膽戰,,,,,,,
連根拔起,戶斥,,,,,,,
連貫,日本鬼子,,,,,,,
連貫的,欠打,,,,,,,
造詣,欠佳,,,,,,,
透明的,欠你的,,,,,,,
雀躍,欠扁,,,,,,,
傑出人物,欠揍,,,,,,,
傑出的,欠干,,,,,,,
最上,欠罵,,,,,,,
最上的,毛坑,,,,,,,
最好地,毛躁,,,,,,,
最有效地,水火不容,,,,,,,
最佳的,火大,,,,,,,
最重要,火冒三丈,,,,,,,
最重要的,火爆,,,,,,,
最高的,牙癢癢,,,,,,,
最理想的,牛頭不對馬嘴,,,,,,,
最適當地,王八羔子,,,,,,,
最優秀,王八蛋,,,,,,,
最優秀的,世儈,,,,,,,
凱旋,乏人,,,,,,,
凱旋的,乏人問津,,,,,,,
創立,乏善,,,,,,,
創立者,乏善可陳,,,,,,,
創造,以怨,,,,,,,
創造力,以怨報怨,,,,,,,
創造性的,以怨報德,,,,,,,
創造的,以退為進,,,,,,,
創新,以偏概全,,,,,,,
創新的,以商逼政,,,,,,,
勝任,以訛傳訛,,,,,,,
勝任的,以貌取人,,,,,,,
勝利的,他奶奶,,,,,,,
勝過,他奶奶的,,,,,,,
博愛,他馬,,,,,,,
博愛的,他馬的,,,,,,,
博愛者,他媽,,,,,,,
喜不自禁的,他媽的,,,,,,,
喜氣,他媽媽,,,,,,,
喜氣洋洋的,仗著,,,,,,,
喜劇,凹種,,,,,,,
喜劇的,出氣,,,,,,,
喜慶,出爾反爾,,,,,,,
喜慶的,出賣身體,,,,,,,
喜歡的,出錯,,,,,,,
報答,出糗,,,,,,,
報答的,加油添醋,,,,,,,
奠基,功敗垂成,,,,,,,
奠基者,功虧一簣,,,,,,,
富有的,包庇,,,,,,,
富有魅力,半死,,,,,,,
富有魅力的,半途而廢,,,,,,,
富於,佔去,,,,,,,
富於同情心,佔用,,,,,,,
富於同情心的,佔領,,,,,,,
富於的,佔據,,,,,,,
富於機智,去去去,,,,,,,
富於機智的,去死,,,,,,,
富幽默感,去死吧,,,,,,,
富幽默感的,去死啦,,,,,,,
富裕的,去你,,,,,,,
富麗的,去你的,,,,,,,
富麗堂皇的,去你媽,,,,,,,
富饒的,去你媽的,,,,,,,
寓意,去搞,,,,,,,
尊重人,可怖,,,,,,,
尊重人的,可恨,,,,,,,
尊敬人,可望,,,,,,,
尊敬人的,古板,,,,,,,
尊敬的,叫屁,,,,,,,
惠顧,叫屈,,,,,,,
愜意的,叫苦,,,,,,,
愉快地,叫嚷,,,,,,,
愉快地說,叫囂,,,,,,,
愉快的,台獨,,,,,,,
掌握,台灣之恥,,,,,,,
提升,囚禁,,,,,,,
提高,失手,,,,,,,
晴朗,失色,,,,,,,
晴朗的,失血,,,,,,,
智力,失利,,,,,,,
智力的,失序,,,,,,,
智慧,失志,,,,,,,
減輕,失身,,,,,,,
渴望的,失和,,,,,,,
渴望獲得,失盲,,,,,,,
滋養,失信,,,,,,,
滋養的,失卻,,,,,,,
無比,失約,,,,,,,
無比的,失神,,,,,,,
無可指責,失笑,,,,,,,
無可指責的,失密,,,,,,,
無可挑剔,失掉,,,,,,,
無可挑剔的,失焦,,,,,,,
無可責難,失意,,,,,,,
無可責難的,失落,,,,,,,
無可置辯,失態,,,,,,,
無可置辯的,失魂落魄,,,,,,,
無污點,失戀,,,,,,,
無污點的,失怙,,,,,,,
無刺激性,奴性,,,,,,,
無刺激性的,奴隸,,,,,,,
無畏的,左右為難,,,,,,,
無害處,平庸,,,,,,,
無害處的,必死,,,,,,,
無缺點,必死無疑,,,,,,,
無缺點的,打一打,,,,,,,
無庸,打人,,,,,,,
無庸置疑,打人喊救人,,,,,,,
無庸置疑地,打死,,,,,,,
無異議,打抱不平,,,,,,,
無異議的,打退,,,,,,,
無惡意,打退堂鼓,,,,,,,
無惡意的,打高空,,,,,,,
無裂縫,打罵,,,,,,,
無裂縫的,打壓,,,,,,,
無瑕,打爛,,,,,,,
無瑕的,斥罵,,,,,,,
無瑕疵的,本末倒置,,,,,,,
無罪的,未雨綢繆,,,,,,,
無過失,未遂,,,,,,,
無過失的,永訣,,,,,,,
無疑的,永遠都不要看到你,,,,,,,
無疑問,犯愁,,,,,,,
無疑問的,犯賤,,,,,,,
無誤地,玉石俱焚,,,,,,,
無價的,瓜田李下,,,,,,,
無憂無慮的,瓜田李下之嫌,,,,,,,
無慾,甘你屁事,,,,,,,
無慾的,生怕,,,,,,,
無敵,生恨,,,,,,,
無敵的,生厭,,,,,,,
無懈可擊的,生懼,,,,,,,
無邊無際,生變,,,,,,,
無髒污,用心良苦,,,,,,,
無髒污的,甩了,,,,,,,
痛快地,甩不甩,,,,,,,
發育,甩不掉,,,,,,,
發展,甩得,,,,,,,
發財,甩得一乾二淨,,,,,,,
發財致富,甩掉,,,,,,,
發覺,甩都不甩,,,,,,,
稍息,甩都甩不掉,,,,,,,
稀少,由不得,,,,,,,
稀少的,由他去,,,,,,,
稀罕的,由愛生恨,,,,,,,
稀奇,申明,,,,,,,
稀奇的,申述,,,,,,,
絕妙的,申訴,,,,,,,
絕無,白目,,,,,,,
絕無錯誤,白受氣,,,,,,,
絕無錯誤的,白搞,,,,,,,
絕對可靠,白爛,,,,,,,
絕對可靠的,皮條客,,,,,,,
給予,示眾,,,,,,,
善心,凶巴巴,,,,,,,
善行的,凶暴,,,,,,,
善良的,劣根,,,,,,,
善於,劣根性,,,,,,,
善於經營,吐一口痰,,,,,,,
善於經營的,吐痰,,,,,,,
善理,吃不下,,,,,,,
善理家,吃屎,,,,,,,
善理家的,吃飽太閒,,,,,,,
善意的,吃飽閒閒,,,,,,,
善說服,吃飽撐著,,,,,,,
善說服的,因魂不散,,,,,,,
善舉,在那邊混,,,,,,,
善辯,奸男女,,,,,,,
舒服的,奸偽,,,,,,,
